Id,Time[ns],I²S
0,10013160.00000000000000000000,Left channel: 00001ad6
1,10034280.00000000000000000000,Right channel: 00000000
2,10054760.00000000000000000000,Left channel: 00000103
3,10075240.00000000000000000000,Right channel: 00000000
4,10095720.00000000000000000000,Left channel: 00007351
5,10116220.00000000000000000000,Right channel: 00000000
6,10136700.00000000000000000000,Left channel: 0000d632
7,10157180.00000000000000000000,Right channel: 00000000
8,10177660.00000000000000000000,Left channel: 000097a4
9,10198140.00000000000000000000,Right channel: 00000000
10,10218620.00000000000000000000,Left channel: 0000a8e0
11,10239100.00000000000000000000,Right channel: 00000000
12,10259600.00000000000000000000,Left channel: 000047e5
13,10280080.00000000000000000000,Right channel: 00000000
14,10300560.00000000000000000000,Left channel: 00003149
15,10321040.00000000000000000000,Right channel: 00000000
16,10341520.00000000000000000000,Left channel: 0000d616
17,10362000.00000000000000000000,Right channel: 00000000
18,10382500.00000000000000000000,Left channel: 00006be7
19,10402980.00000000000000000000,Right channel: 00000000
20,10423460.00000000000000000000,Left channel: 000036ae
21,10443940.00000000000000000000,Right channel: 00000000
22,10464420.00000000000000000000,Left channel: 0000f300
23,10484900.00000000000000000000,Right channel: 00000000
24,10505380.00000000000000000000,Left channel: 0000ada8
25,10525880.00000000000000000000,Right channel: 00000000
26,10546360.00000000000000000000,Left channel: 00001dfd
27,10566840.00000000000000000000,Right channel: 00000000
28,10587320.00000000000000000000,Left channel: 0000d196
29,10607800.00000000000000000000,Right channel: 00000000
30,10628280.00000000000000000000,Left channel: 0000f5d9
31,10648780.00000000000000000000,Right channel: 00000000
32,10669260.00000000000000000000,Left channel: 00009554
33,10689740.00000000000000000000,Right channel: 00000000
34,10710220.00000000000000000000,Left channel: 0000c7e7
35,10730700.00000000000000000000,Right channel: 00000000
36,10751180.00000000000000000000,Left channel: 00003a91
37,10771660.00000000000000000000,Right channel: 00000000
38,10792160.00000000000000000000,Left channel: 00001bb4
39,10812640.00000000000000000000,Right channel: 00000000
40,10833120.00000000000000000000,Left channel: 0000dd61
41,10853600.00000000000000000000,Right channel: 00000000
42,10874080.00000000000000000000,Left channel: 00003b8f
43,10894560.00000000000000000000,Right channel: 00000000
44,10915040.00000000000000000000,Left channel: 00005c76
45,10935540.00000000000000000000,Right channel: 00000000
46,10956020.00000000000000000000,Left channel: 00006ef0
47,10976500.00000000000000000000,Right channel: 00000000
48,10996980.00000000000000000000,Left channel: 00008b2e
49,11017460.00000000000000000000,Right channel: 00000000
50,11037940.00000000000000000000,Left channel: 00009c5d
51,11058440.00000000000000000000,Right channel: 00000000
52,11078920.00000000000000000000,Left channel: 0000d4c5
53,11099400.00000000000000000000,Right channel: 00000000
54,11119880.00000000000000000000,Left channel: 0000d6a8
55,11140360.00000000000000000000,Right channel: 00000000
56,11160840.00000000000000000000,Left channel: 0000c49a
57,11181320.00000000000000000000,Right channel: 00000000
58,11201820.00000000000000000000,Left channel: 00005c06
59,11222300.00000000000000000000,Right channel: 00000000
60,11242780.00000000000000000000,Left channel: 00009b77
61,11263260.00000000000000000000,Right channel: 00000000
62,11283740.00000000000000000000,Left channel: 0000b1a5
63,11304220.00000000000000000000,Right channel: 00000000
64,11324720.00000000000000000000,Left channel: 0000d7fc
65,11345200.00000000000000000000,Right channel: 00000000
66,11365680.00000000000000000000,Left channel: 00001fb6
67,11386160.00000000000000000000,Right channel: 00000000
68,11406640.00000000000000000000,Left channel: 0000151a
69,11427120.00000000000000000000,Right channel: 00000000
70,11447600.00000000000000000000,Left channel: 00008308
71,11468100.00000000000000000000,Right channel: 00000000
72,11488580.00000000000000000000,Left channel: 0000ad13
73,11509060.00000000000000000000,Right channel: 00000000
74,11529540.00000000000000000000,Left channel: 0000c2cf
75,11550020.00000000000000000000,Right channel: 00000000
76,11570500.00000000000000000000,Left channel: 0000d9eb
77,11590980.00000000000000000000,Right channel: 00000000
78,11611480.00000000000000000000,Left channel: 0000e770
79,11631960.00000000000000000000,Right channel: 00000000
80,11652440.00000000000000000000,Left channel: 0000a7d3
81,11672920.00000000000000000000,Right channel: 00000000
82,11693400.00000000000000000000,Left channel: 00003862
83,11713880.00000000000000000000,Right channel: 00000000
84,11734380.00000000000000000000,Left channel: 0000c7af
85,11754860.00000000000000000000,Right channel: 00000000
86,11775340.00000000000000000000,Left channel: 0000b691
87,11795820.00000000000000000000,Right channel: 00000000
88,11816300.00000000000000000000,Left channel: 0000eb95
89,11836780.00000000000000000000,Right channel: 00000000
90,11857260.00000000000000000000,Left channel: 0000a0fc
91,11877760.00000000000000000000,Right channel: 00000000
92,11898240.00000000000000000000,Left channel: 000029ed
93,11918720.00000000000000000000,Right channel: 00000000
94,11939200.00000000000000000000,Left channel: 0000b42d
95,11959680.00000000000000000000,Right channel: 00000000
96,11980160.00000000000000000000,Left channel: 0000142c
97,12000660.00000000000000000000,Right channel: 00000000
98,12021140.00000000000000000000,Left channel: 00008483
99,12041620.00000000000000000000,Right channel: 00000000
100,12062100.00000000000000000000,Left channel: 0000ca1d
101,12082580.00000000000000000000,Right channel: 00000000
102,12103060.00000000000000000000,Left channel: 00005a54
103,12123540.00000000000000000000,Right channel: 00000000
104,12144040.00000000000000000000,Left channel: 00007265
105,12164520.00000000000000000000,Right channel: 00000000
106,12185000.00000000000000000000,Left channel: 00006597
107,12205480.00000000000000000000,Right channel: 00000000
108,12225960.00000000000000000000,Left channel: 0000a8ab
109,12246440.00000000000000000000,Right channel: 00000000
110,12266920.00000000000000000000,Left channel: 00008839
111,12287420.00000000000000000000,Right channel: 00000000
112,12307900.00000000000000000000,Left channel: 00008621
113,12328380.00000000000000000000,Right channel: 00000000
114,12348860.00000000000000000000,Left channel: 00001f1a
115,12369340.00000000000000000000,Right channel: 00000000
116,12389820.00000000000000000000,Left channel: 0000f00d
117,12410320.00000000000000000000,Right channel: 00000000
118,12430800.00000000000000000000,Left channel: 0000f35a
119,12451280.00000000000000000000,Right channel: 00000000
120,12471760.00000000000000000000,Left channel: 00009fd2
121,12492240.00000000000000000000,Right channel: 00000000
122,12512720.00000000000000000000,Left channel: 000099ee
123,12533200.00000000000000000000,Right channel: 00000000
124,12553680.00000000000000000000,Left channel: 0000eda6
125,12574180.00000000000000000000,Right channel: 00000000
126,12594660.00000000000000000000,Left channel: 00004647
127,12615140.00000000000000000000,Right channel: 00000000
128,12635620.00000000000000000000,Left channel: 00000f6d
129,12656100.00000000000000000000,Right channel: 00000000
130,12676580.00000000000000000000,Left channel: 0000f6d9
131,12697080.00000000000000000000,Right channel: 00000000
132,12717560.00000000000000000000,Left channel: 000035c1
133,12738040.00000000000000000000,Right channel: 00000000
134,12758520.00000000000000000000,Left channel: 00004762
135,12779000.00000000000000000000,Right channel: 00000000
136,12799480.00000000000000000000,Left channel: 0000b1a5
137,12819960.00000000000000000000,Right channel: 00000000
138,12840460.00000000000000000000,Left channel: 0000e6d2
139,12860940.00000000000000000000,Right channel: 00000000
140,12881420.00000000000000000000,Left channel: 0000e5eb
141,12901900.00000000000000000000,Right channel: 00000000
142,12922380.00000000000000000000,Left channel: 0000d421
143,12942860.00000000000000000000,Right channel: 00000000
144,12963360.00000000000000000000,Left channel: 0000e616
145,12983840.00000000000000000000,Right channel: 00000000
146,13004320.00000000000000000000,Left channel: 0000c07e
147,13024800.00000000000000000000,Right channel: 00000000
148,13045280.00000000000000000000,Left channel: 0000b741
149,13065760.00000000000000000000,Right channel: 00000000
150,13086260.00000000000000000000,Left channel: 00001f5e
151,13106740.00000000000000000000,Right channel: 00000000
152,13127220.00000000000000000000,Left channel: 00008a21
153,13147700.00000000000000000000,Right channel: 00000000
154,13168180.00000000000000000000,Left channel: 00007ca3
155,13188660.00000000000000000000,Right channel: 00000000
156,13209140.00000000000000000000,Left channel: 0000c073
157,13229620.00000000000000000000,Right channel: 00000000
158,13250120.00000000000000000000,Left channel: 0000d88c
159,13270600.00000000000000000000,Right channel: 00000000
160,13291080.00000000000000000000,Left channel: 0000f3da
161,13311560.00000000000000000000,Right channel: 00000000
162,13332040.00000000000000000000,Left channel: 00008e84
163,13352540.00000000000000000000,Right channel: 00000000
164,13373020.00000000000000000000,Left channel: 000090f1
165,13393500.00000000000000000000,Right channel: 00000000
166,13413980.00000000000000000000,Left channel: 0000f0b5
167,13434460.00000000000000000000,Right channel: 00000000
168,13454940.00000000000000000000,Left channel: 00001308
169,13475420.00000000000000000000,Right channel: 00000000
170,13495900.00000000000000000000,Left channel: 00009902
171,13516400.00000000000000000000,Right channel: 00000000
172,13536880.00000000000000000000,Left channel: 000081de
173,13557360.00000000000000000000,Right channel: 00000000
174,13577840.00000000000000000000,Left channel: 0000372f
175,13598320.00000000000000000000,Right channel: 00000000
176,13618800.00000000000000000000,Left channel: 00002f99
177,13639300.00000000000000000000,Right channel: 00000000
178,13659780.00000000000000000000,Left channel: 00001874
179,13680260.00000000000000000000,Right channel: 00000000
180,13700740.00000000000000000000,Left channel: 00009342
181,13721220.00000000000000000000,Right channel: 00000000
182,13741700.00000000000000000000,Left channel: 0000da5b
183,13762180.00000000000000000000,Right channel: 00000000
184,13782680.00000000000000000000,Left channel: 00008db2
185,13803160.00000000000000000000,Right channel: 00000000
186,13823640.00000000000000000000,Left channel: 0000b28b
187,13844120.00000000000000000000,Right channel: 00000000
188,13864600.00000000000000000000,Left channel: 0000f9a8
189,13885080.00000000000000000000,Right channel: 00000000
190,13905560.00000000000000000000,Left channel: 0000c0f8
191,13926060.00000000000000000000,Right channel: 00000000
192,13946540.00000000000000000000,Left channel: 0000e9a4
193,13967020.00000000000000000000,Right channel: 00000000
194,13987500.00000000000000000000,Left channel: 0000447d
195,14007980.00000000000000000000,Right channel: 00000000
196,14028460.00000000000000000000,Left channel: 000083e8
197,14048960.00000000000000000000,Right channel: 00000000
198,14069440.00000000000000000000,Left channel: 0000088e
199,14089920.00000000000000000000,Right channel: 00000000
200,14110400.00000000000000000000,Left channel: 0000d39d
201,14130880.00000000000000000000,Right channel: 00000000
202,14151360.00000000000000000000,Left channel: 0000fff1
203,14171840.00000000000000000000,Right channel: 00000000
204,14192340.00000000000000000000,Left channel: 00005813
205,14212820.00000000000000000000,Right channel: 00000000
