Id,Time[ns],I²S
0,10013160.00000000000000000000,Left channel: 00000a1a
1,10034280.00000000000000000000,Right channel: 00ffffff
2,10054760.00000000000000000000,Left channel: 000009e8
3,10075240.00000000000000000000,Right channel: 00ffffff
4,10095720.00000000000000000000,Left channel: 0000073d
5,10116220.00000000000000000000,Right channel: 00ffffff
6,10136700.00000000000000000000,Left channel: 0000050a
7,10157180.00000000000000000000,Right channel: 00ffffff
8,10177660.00000000000000000000,Left channel: 000006c2
9,10198140.00000000000000000000,Right channel: 00ffffff
10,10218620.00000000000000000000,Left channel: 000006b9
11,10239100.00000000000000000000,Right channel: 00ffffff
12,10259600.00000000000000000000,Left channel: 000006f8
13,10280080.00000000000000000000,Right channel: 00ffffff
14,10300560.00000000000000000000,Left channel: 0000084a
15,10321040.00000000000000000000,Right channel: 00ffffff
16,10341520.00000000000000000000,Left channel: 000004d8
17,10362000.00000000000000000000,Right channel: 00ffffff
18,10382500.00000000000000000000,Left channel: 000005b7
19,10402980.00000000000000000000,Right channel: 00ffffff
20,10423460.00000000000000000000,Left channel: 000004f5
21,10443940.00000000000000000000,Right channel: 00ffffff
22,10464420.00000000000000000000,Left channel: 00000338
23,10484900.00000000000000000000,Right channel: 00ffffff
24,10505380.00000000000000000000,Left channel: 00000622
25,10525880.00000000000000000000,Right channel: 00ffffff
26,10546360.00000000000000000000,Left channel: 00000211
27,10566840.00000000000000000000,Right channel: 00ffffff
28,10587320.00000000000000000000,Left channel: 000003ca
29,10607800.00000000000000000000,Right channel: 00ffffff
30,10628280.00000000000000000000,Left channel: 000002c2
31,10648780.00000000000000000000,Right channel: 00ffffff
32,10669260.00000000000000000000,Left channel: 000004fd
33,10689740.00000000000000000000,Right channel: 00ffffff
34,10710220.00000000000000000000,Left channel: 000001ae
35,10730700.00000000000000000000,Right channel: 00ffffff
36,10751180.00000000000000000000,Left channel: 00000006
37,10771660.00000000000000000000,Right channel: 00ffffff
38,10792160.00000000000000000000,Left channel: 00000007
39,10812640.00000000000000000000,Right channel: 00ffffff
40,10833120.00000000000000000000,Left channel: 000001fa
41,10853600.00000000000000000000,Right channel: 00ffffff
42,10874080.00000000000000000000,Left channel: 00fffe58
43,10894560.00000000000000000000,Right channel: 00ffffff
44,10915040.00000000000000000000,Left channel: 00ffffe5
45,10935540.00000000000000000000,Right channel: 00ffffff
46,10956020.00000000000000000000,Left channel: 00000172
47,10976500.00000000000000000000,Right channel: 00ffffff
48,10996980.00000000000000000000,Left channel: 00fffec8
49,11017460.00000000000000000000,Right channel: 00ffffff
50,11037940.00000000000000000000,Left channel: 00000140
51,11058440.00000000000000000000,Right channel: 00ffffff
52,11078920.00000000000000000000,Left channel: 00fffe7a
53,11099400.00000000000000000000,Right channel: 00ffffff
54,11119880.00000000000000000000,Left channel: 000000bb
55,11140360.00000000000000000000,Right channel: 00ffffff
56,11160840.00000000000000000000,Left channel: 00ffff54
57,11181320.00000000000000000000,Right channel: 00ffffff
58,11201820.00000000000000000000,Left channel: 000017ea
59,11222300.00000000000000000000,Right channel: 00ffffff
