Id,Time[ns],I²S
0,10004580.00000000000000000000,Right channel: 00000000
1,10037580.00000000000000000000,Left channel: 000006fd
2,10069600.00000000000000000000,Right channel: 00000000
3,10101600.00000000000000000000,Left channel: 00fffe55
4,10133600.00000000000000000000,Right channel: 00000000
5,10165600.00000000000000000000,Left channel: 00fff380
6,10197600.00000000000000000000,Right channel: 00000000
7,10229620.00000000000000000000,Left channel: 000003a8
8,10261620.00000000000000000000,Right channel: 00000000
9,10293620.00000000000000000000,Left channel: 00000ea3
10,10325620.00000000000000000000,Right channel: 00000000
11,10357640.00000000000000000000,Left channel: 00ffd604
12,10389640.00000000000000000000,Right channel: 00000000
13,10421640.00000000000000000000,Left channel: 00ffda95
14,10453640.00000000000000000000,Right channel: 00000000
15,10485660.00000000000000000000,Left channel: 00ffffb6
16,10517660.00000000000000000000,Right channel: 00000000
17,10549660.00000000000000000000,Left channel: 00fff495
18,10581660.00000000000000000000,Right channel: 00000000
19,10613680.00000000000000000000,Left channel: 00000330
20,10645680.00000000000000000000,Right channel: 00000000
21,10677680.00000000000000000000,Left channel: 00fffe7b
22,10709680.00000000000000000000,Right channel: 00000000
23,10741680.00000000000000000000,Left channel: 00fff2af
24,10773700.00000000000000000000,Right channel: 00000000
25,10805700.00000000000000000000,Left channel: 0000003e
26,10837700.00000000000000000000,Right channel: 00000000
27,10869700.00000000000000000000,Left channel: 00fffca5
28,10901720.00000000000000000000,Right channel: 00000000
29,10933720.00000000000000000000,Left channel: 00ffeaa3
30,10965720.00000000000000000000,Right channel: 00000000
31,10997720.00000000000000000000,Left channel: 00fff113
32,11029740.00000000000000000000,Right channel: 00000000
33,11061740.00000000000000000000,Left channel: 00ffef08
34,11093740.00000000000000000000,Right channel: 00000000
35,11125740.00000000000000000000,Left channel: 00ffeabc
36,11157760.00000000000000000000,Right channel: 00000000
37,11189760.00000000000000000000,Left channel: 00fff1de
38,11221760.00000000000000000000,Right channel: 00000000
39,11253760.00000000000000000000,Left channel: 00fffb69
40,11285760.00000000000000000000,Right channel: 00000000
41,11317780.00000000000000000000,Left channel: 00fff570
42,11349780.00000000000000000000,Right channel: 00000000
43,11381780.00000000000000000000,Left channel: 00fff7d7
44,11413780.00000000000000000000,Right channel: 00000000
45,11445800.00000000000000000000,Left channel: 00fff276
46,11477800.00000000000000000000,Right channel: 00000000
47,11509800.00000000000000000000,Left channel: 00ffee4b
48,11541800.00000000000000000000,Right channel: 00000000
49,11573820.00000000000000000000,Left channel: 00ffe989
50,11605820.00000000000000000000,Right channel: 00000000
51,11637820.00000000000000000000,Left channel: 00fff458
52,11669820.00000000000000000000,Right channel: 00000000
53,11701820.00000000000000000000,Left channel: 00000a5b
54,11733840.00000000000000000000,Right channel: 00000000
55,11765840.00000000000000000000,Left channel: 00fff3e0
56,11797840.00000000000000000000,Right channel: 00000000
57,11829840.00000000000000000000,Left channel: 00ffec52
58,11861860.00000000000000000000,Right channel: 00000000
59,11893860.00000000000000000000,Left channel: 00ffeb2a
60,11925860.00000000000000000000,Right channel: 00000000
61,11957860.00000000000000000000,Left channel: 00ffb715
62,11989880.00000000000000000000,Right channel: 00000000
63,12021880.00000000000000000000,Left channel: 000018a0
64,12053880.00000000000000000000,Right channel: 00000000
65,12085880.00000000000000000000,Left channel: 0000d20b
66,12117900.00000000000000000000,Right channel: 00000000
67,12149900.00000000000000000000,Left channel: 00011d2e
68,12181900.00000000000000000000,Right channel: 00000000
69,12213900.00000000000000000000,Left channel: 00ff675b
70,12245920.00000000000000000000,Right channel: 00000000
71,12277920.00000000000000000000,Left channel: 00fffae1
72,12309920.00000000000000000000,Right channel: 00000000
73,12341920.00000000000000000000,Left channel: 00fee913
74,12373920.00000000000000000000,Right channel: 00000000
75,12405940.00000000000000000000,Left channel: 0001dab6
76,12437940.00000000000000000000,Right channel: 00000000
77,12469940.00000000000000000000,Left channel: 00fd4113
78,12501940.00000000000000000000,Right channel: 00000000
79,12533960.00000000000000000000,Left channel: 000a6065
80,12565960.00000000000000000000,Right channel: 00000000
81,12597960.00000000000000000000,Left channel: 00f8e642
82,12629960.00000000000000000000,Right channel: 00000000
83,12661980.00000000000000000000,Left channel: 00d56c48
84,12693980.00000000000000000000,Right channel: 00000000
85,12725980.00000000000000000000,Left channel: 00e8c846
86,12757980.00000000000000000000,Right channel: 00000000
87,12790000.00000000000000000000,Left channel: 00147bfe
88,12822000.00000000000000000000,Right channel: 00000000
89,12854000.00000000000000000000,Left channel: 00218890
90,12886000.00000000000000000000,Right channel: 00000000
91,12918000.00000000000000000000,Left channel: 0008b105
92,12950020.00000000000000000000,Right channel: 00000000
93,12982020.00000000000000000000,Left channel: 00ffbc8e
94,13014020.00000000000000000000,Right channel: 00000000
95,13046020.00000000000000000000,Left channel: 00254065
96,13078040.00000000000000000000,Right channel: 00000000
97,13110040.00000000000000000000,Left channel: 00392fb3
98,13142040.00000000000000000000,Right channel: 00000000
99,13174040.00000000000000000000,Left channel: 0013158a
100,13206060.00000000000000000000,Right channel: 00000000
101,13238060.00000000000000000000,Left channel: 00e48ba8
102,13270060.00000000000000000000,Right channel: 00000000
103,13302060.00000000000000000000,Left channel: 00db4314
104,13334080.00000000000000000000,Right channel: 00000000
105,13366080.00000000000000000000,Left channel: 00f0c484
106,13398080.00000000000000000000,Right channel: 00000000
107,13430080.00000000000000000000,Left channel: 00fae352
108,13462080.00000000000000000000,Right channel: 00000000
109,13494100.00000000000000000000,Left channel: 00c7cb72
110,13526100.00000000000000000000,Right channel: 00000000
111,13558100.00000000000000000000,Left channel: 00bb770c
112,13590100.00000000000000000000,Right channel: 00000000
113,13622120.00000000000000000000,Left channel: 0031deca
114,13654120.00000000000000000000,Right channel: 00000000
115,13686120.00000000000000000000,Left channel: 00584557
116,13718120.00000000000000000000,Right channel: 00000000
117,13750140.00000000000000000000,Left channel: 002475ee
118,13782140.00000000000000000000,Right channel: 00000000
119,13814140.00000000000000000000,Left channel: 00ff6dae
120,13846140.00000000000000000000,Right channel: 00000000
121,13878140.00000000000000000000,Left channel: 0012d49b
122,13910160.00000000000000000000,Right channel: 00000000
123,13942160.00000000000000000000,Left channel: 001f611f
124,13974160.00000000000000000000,Right channel: 00000000
125,14006160.00000000000000000000,Left channel: 0001c02f
126,14038180.00000000000000000000,Right channel: 00000000
127,14070180.00000000000000000000,Left channel: 00e2b2cb
128,14102180.00000000000000000000,Right channel: 00000000
129,14134180.00000000000000000000,Left channel: 00d96d6e
130,14166200.00000000000000000000,Right channel: 00000000
131,14198200.00000000000000000000,Left channel: 00cec974
132,14230200.00000000000000000000,Right channel: 00000000
133,14262200.00000000000000000000,Left channel: 00dec789
134,14294220.00000000000000000000,Right channel: 00000000
135,14326220.00000000000000000000,Left channel: 00f234f9
136,14358220.00000000000000000000,Right channel: 00000000
137,14390220.00000000000000000000,Left channel: 00f6cbce
138,14422240.00000000000000000000,Right channel: 00000000
139,14454240.00000000000000000000,Left channel: 00ffe3d8
140,14486240.00000000000000000000,Right channel: 00000000
141,14518240.00000000000000000000,Left channel: 001a9d13
142,14550240.00000000000000000000,Right channel: 00000000
143,14582260.00000000000000000000,Left channel: 00292bc2
144,14614260.00000000000000000000,Right channel: 00000000
145,14646260.00000000000000000000,Left channel: 001dd766
146,14678260.00000000000000000000,Right channel: 00000000
147,14710280.00000000000000000000,Left channel: 0003c839
148,14742280.00000000000000000000,Right channel: 00000000
149,14774280.00000000000000000000,Left channel: 00f2e124
150,14806280.00000000000000000000,Right channel: 00000000
151,14838300.00000000000000000000,Left channel: 00e85755
152,14870300.00000000000000000000,Right channel: 00000000
153,14902300.00000000000000000000,Left channel: 00e116dd
154,14934300.00000000000000000000,Right channel: 00000000
155,14966300.00000000000000000000,Left channel: 00e8c024
156,14998320.00000000000000000000,Right channel: 00000000
157,15030320.00000000000000000000,Left channel: 00ec0310
158,15062320.00000000000000000000,Right channel: 00000000
159,15094320.00000000000000000000,Left channel: 00f9bd19
160,15126340.00000000000000000000,Right channel: 00000000
161,15158340.00000000000000000000,Left channel: 00188945
162,15190340.00000000000000000000,Right channel: 00000000
163,15222340.00000000000000000000,Left channel: 0029c2e8
164,15254360.00000000000000000000,Right channel: 00000000
165,15286360.00000000000000000000,Left channel: 001def5a
166,15318360.00000000000000000000,Right channel: 00000000
167,15350360.00000000000000000000,Left channel: 0006c166
168,15382380.00000000000000000000,Right channel: 00000000
169,15414380.00000000000000000000,Left channel: 00fa20c7
170,15446380.00000000000000000000,Right channel: 00000000
171,15478380.00000000000000000000,Left channel: 00feaabe
172,15510400.00000000000000000000,Right channel: 00000000
173,15542400.00000000000000000000,Left channel: 00023b0c
174,15574400.00000000000000000000,Right channel: 00000000
175,15606400.00000000000000000000,Left channel: 00f9497f
176,15638400.00000000000000000000,Right channel: 00000000
177,15670420.00000000000000000000,Left channel: 00eb8375
178,15702420.00000000000000000000,Right channel: 00000000
179,15734420.00000000000000000000,Left channel: 00f35c84
180,15766420.00000000000000000000,Right channel: 00000000
181,15798440.00000000000000000000,Left channel: 0002f7de
182,15830440.00000000000000000000,Right channel: 00000000
183,15862440.00000000000000000000,Left channel: 000f8459
184,15894440.00000000000000000000,Right channel: 00000000
185,15926460.00000000000000000000,Left channel: 00158997
186,15958460.00000000000000000000,Right channel: 00000000
187,15990460.00000000000000000000,Left channel: 0014a592
188,16022460.00000000000000000000,Right channel: 00000000
189,16054480.00000000000000000000,Left channel: 000ef7be
190,16086480.00000000000000000000,Right channel: 00000000
191,16118480.00000000000000000000,Left channel: 0002a4b8
192,16150480.00000000000000000000,Right channel: 00000000
193,16182480.00000000000000000000,Left channel: 00fb0d2b
194,16214500.00000000000000000000,Right channel: 00000000
195,16246500.00000000000000000000,Left channel: 00fb9182
196,16278500.00000000000000000000,Right channel: 00000000
197,16310500.00000000000000000000,Left channel: 00f97839
198,16342520.00000000000000000000,Right channel: 00000000
199,16374520.00000000000000000000,Left channel: 00f0f53e
200,16406520.00000000000000000000,Right channel: 00000000
201,16438520.00000000000000000000,Left channel: 00f39def
202,16470540.00000000000000000000,Right channel: 00000000
203,16502540.00000000000000000000,Left channel: 0002010b
204,16534540.00000000000000000000,Right channel: 00000000
205,16566540.00000000000000000000,Left channel: 000729e6
206,16598560.00000000000000000000,Right channel: 00000000
207,16630560.00000000000000000000,Left channel: 000668a9
208,16662560.00000000000000000000,Right channel: 00000000
209,16694560.00000000000000000000,Left channel: 0008a67a
210,16726560.00000000000000000000,Right channel: 00000000
211,16758580.00000000000000000000,Left channel: 000cacfd
212,16790580.00000000000000000000,Right channel: 00000000
213,16822580.00000000000000000000,Left channel: 000839b2
214,16854580.00000000000000000000,Right channel: 00000000
215,16886600.00000000000000000000,Left channel: 00fbfcc9
216,16918600.00000000000000000000,Right channel: 00000000
217,16950600.00000000000000000000,Left channel: 00f3f074
218,16982600.00000000000000000000,Right channel: 00000000
219,17014620.00000000000000000000,Left channel: 00f5acfa
220,17046620.00000000000000000000,Right channel: 00000000
221,17078620.00000000000000000000,Left channel: 00ff40b1
222,17110620.00000000000000000000,Right channel: 00000000
223,17142620.00000000000000000000,Left channel: 00007aa7
224,17174640.00000000000000000000,Right channel: 00000000
225,17206640.00000000000000000000,Left channel: 00fb04fa
226,17238640.00000000000000000000,Right channel: 00000000
227,17270640.00000000000000000000,Left channel: 00feda43
228,17302660.00000000000000000000,Right channel: 00000000
229,17334660.00000000000000000000,Left channel: 0005139c
230,17366660.00000000000000000000,Right channel: 00000000
231,17398660.00000000000000000000,Left channel: 000952b9
232,17430680.00000000000000000000,Right channel: 00000000
233,17462680.00000000000000000000,Left channel: 000257bd
234,17494680.00000000000000000000,Right channel: 00000000
235,17526680.00000000000000000000,Left channel: 00fe70d2
236,17558700.00000000000000000000,Right channel: 00000000
237,17590700.00000000000000000000,Left channel: 00fd26c1
238,17622700.00000000000000000000,Right channel: 00000000
239,17654700.00000000000000000000,Left channel: 00fa4ac7
240,17686720.00000000000000000000,Right channel: 00000000
241,17718720.00000000000000000000,Left channel: 00f6d198
242,17750720.00000000000000000000,Right channel: 00000000
243,17782720.00000000000000000000,Left channel: 00f8a61f
244,17814720.00000000000000000000,Right channel: 00000000
245,17846740.00000000000000000000,Left channel: 00ff23ac
246,17878740.00000000000000000000,Right channel: 00000000
247,17910740.00000000000000000000,Left channel: 00ff5641
248,17942740.00000000000000000000,Right channel: 00000000
249,17974760.00000000000000000000,Left channel: 00fd94df
250,18006760.00000000000000000000,Right channel: 00000000
251,18038760.00000000000000000000,Left channel: 00ff03f2
252,18070760.00000000000000000000,Right channel: 00000000
253,18102780.00000000000000000000,Left channel: 0002d881
254,18134780.00000000000000000000,Right channel: 00000000
255,18166780.00000000000000000000,Left channel: 000619cd
256,18198780.00000000000000000000,Right channel: 00000000
257,18230800.00000000000000000000,Left channel: 0002eabe
258,18262800.00000000000000000000,Right channel: 00000000
259,18294800.00000000000000000000,Left channel: 00fdfd7a
260,18326800.00000000000000000000,Right channel: 00000000
261,18358800.00000000000000000000,Left channel: 00fbc1fb
262,18390820.00000000000000000000,Right channel: 00000000
